"Gene","differential expression tissue","differential expression P-value","used in regulatory network reconstruction?","estimated regulatory direction","social connectivity","phylostrata category","SwissProt ID","constraint"
"LOC105829755","larva → nurse abdomen","CG",6.11554374993783e-26,"larv",0.193192079576662,"worker larva","yes","307658:004ca8"
"LOC105829756",NA,NA,6.68378071534497e-10,NA,NA,"worker larva","no","307658:002249"
"LOC105829758",NA,NA,0.0157785519934089,NA,NA,"worker larva","no",NA
"LOC105829759",NA,NA,1.04969749035577e-11,NA,NA,"worker larva","no",NA
"LOC105829760",NA,NA,3.27055085372577e-10,NA,NA,"worker larva","no",NA
"LOC105829762",NA,NA,8.59504592084709e-12,NA,NA,"worker larva","no","307658:0045fd"
"LOC105829763","larva → nurse abdomen","CG",3.81442758207089e-50,"larv",0.193127827843774,"worker larva","yes","307658:003966"
"LOC105829763","larva → nurse head","CH",3.81442758207089e-50,"larv",0.188247043899585,"worker larva","yes","307658:003966"
"LOC105829764","larva → nurse head","CH",2.78944268304302e-38,"larv",0.158540875980206,"worker larva","yes","307658:003967"
"LOC105829764","larva → nurse abdomen","CG",2.78944268304302e-38,"larv",0.143561350261083,"worker larva","yes","307658:003967"
"LOC105829765",NA,NA,0.0204992733113321,NA,NA,"nurse head","no","307658:003968"
"LOC105829765",NA,NA,0.0033423064311169,NA,NA,"worker larva","no","307658:003968"
"LOC105829769","nurse head → larva","CH",0.00642769074113184,"nurse",0.135824397275246,"nurse head","yes","307658:004ff5"
"LOC105829769","larva → nurse head","CH",5.13836642586313e-53,"larv",0.220019527383443,"worker larva","yes","307658:004ff5"
"LOC105829769","larva → nurse abdomen","CG",5.13836642586313e-53,"larv",0.142354509842466,"worker larva","yes","307658:004ff5"
"LOC105829770",NA,NA,4.59294950745596e-10,NA,NA,"worker larva","no","307658:00443c"
"LOC105829773",NA,NA,2.06427719288426e-06,NA,NA,"worker larva","no","307658:004a4e"
"LOC105829774",NA,NA,1.07857692048771e-07,NA,NA,"worker larva","no","307658:004a4f"
"LOC105829781",NA,NA,0.0468585043887418,NA,NA,"nurse head","no","307658:0007f8"
"LOC105829812","nurse head → larva","CH",0.00265333959562938,"nurse",0.0824877530371395,"nurse head","yes",NA
"LOC105829812",NA,NA,0.00103224563477001,NA,NA,"worker larva","no",NA
"LOC105829812",NA,NA,0.0169254193887917,NA,NA,"nurse abdomen","no",NA
"LOC105829820","larva → nurse abdomen","CG",1.01396510654194e-30,"larv",0.142809632340213,"worker larva","yes","307658:00219f"
"LOC105829820","larva → nurse head","CH",1.01396510654194e-30,"larv",0.159602888829461,"worker larva","yes","307658:00219f"
"LOC105829835",NA,NA,5.92418644846411e-11,NA,NA,"worker larva","no","307658:00396f"
"LOC105829856","larva → nurse head","CH",2.68030563093023e-44,"larv",0.222026223370052,"worker larva","yes","307658:002670"
"LOC105829856",NA,NA,2.77535016832408e-06,NA,NA,"nurse head","no","307658:002670"
"LOC105829856","larva → nurse abdomen","CG",2.68030563093023e-44,"larv",0.199472177349061,"worker larva","yes","307658:002670"
"LOC105829883","nurse head → larva","CH",0.000692999077926147,"nurse",0.205765389516143,"nurse head","yes","307658:003de9"
"LOC105829888",NA,NA,4.57586555044322e-07,NA,NA,"worker larva","no","307658:003eff"
"LOC105829893",NA,NA,0.0177625046935276,NA,NA,"worker larva","no","307658:004d5c"
"LOC105829893","nurse head → larva","CH",0.00190143568158715,"nurse",0.0703743037532368,"nurse head","yes","307658:004d5c"
